"HolderAddress","Balance","PendingBalanceUpdate"
"0xaB0FF7485271C1b6CAeAE1C91b05839CCA44146E","-8620","No"
"0xB59f8E7cDDcB7217207255428A3c8d0e6BAeFfB7","0","No"
"0x4F5d713D372d09d644196D7fb85f13303158DF32","-3900","No"
"0x02Cf6A83b8657044Ebc9dbe498F5c9fF7722Ce2D","0","No"
"0x55c7b63E778413475207E6c756140CbdCD78A7c7","-20498","No"
"0x02Bf4D673cBA0Dcf2cB54D576070f4d6d696b522","-300","No"
"0x8DDe9034C53e619C4EB39B3fcF5E17c48Ed4752E","-31282","No"
"0xdD8e8DE7a9e6E467D5d4cFE84Dcd8BE9aa4B7Fb8","-2348","No"
"0x0E947d09EEeA0Ed1838554ae20cF56D093281F68","-20496","No"
"0xD7e04eBc1a4B6b24eD5BaC6709a0D3f919ae93f2","214","No"
"0x266D7F36cFc2a4F242F3f49CcEA52338F1Bd01eB","-214","No"
"0x0d5d1A13458afC34Ca7bD09087C800748CBb0702","-29377","No"
"0x0169C8930c00D27EBB1dAE7B52F0ECDBfa778780","0","No"
"0xaBBAee50F061694b8c783BE3a117ca85b0F9a835","-129310","No"
"0x2Fd182c94b50cb17C93bB2F26E731e215DC53441","-327586","No"
"0x06a2cF3f024d8871BAedd0f7BD9340001AaDa574","204335","No"
"0x2220FEB6EA12293b236Be2A55B1b555F1948B0C5","0","No"
"0xD8190b480979d51Ed00202AabcEe3B215587af91","-1005164","No"
"0x3c44e21D06E42604C5C88051823DA41b0E5F3633","0","No"
"0xe13540ecEE11B212e8B775dC8E71f374aAe9B3F8","-3165513","No"
"0x9B8776d030AB443eD6E94FC8EA5231dd8395abf0","-512741","No"
"0x238EeccBc30aAe07C4451Ed920fE942d2e0300a8","0","No"
"0x7dD8b2cb6dB99e101A824E01e6430F9B562372Fd","-294000","No"
"0xeA8a7E9a07C455Af23662b7C323Fde48c6310b17","0","No"
"0x8dE1e623c174df3947FF55fB26253df7602bCE38","0","No"
"0xFF6afc8f8FDc6E25802224CBb4be20ec980ae057","-399866","No"
